productid,productskuid,New Product Name,Quantity,New_level1,New_level2,Valued_level2,New_level3,brandname,orig_score,aggr_score
100075108,10085952.0,os food meat masala,100 gm,masala,spices & masalas,spices & masalas,blended spices,OS Food,0.0,0.0
100063485,10072307.0,prs black sarson,100 gm,masala,spices & masalas,spices & masalas,mustard seeds,PRS,0.0,0.0
100113816,10125557.0,parrot masala himalayan rock salt sendha namak,100 g,masala,salt,,salt,Parrot,0.0,0.0
100039486,10047086.0,patanjali fenugreek,100 g,masala,spices & masalas,spices & masalas,whole spices,Patanjali,0.0,0.0
100152540,10164281.0,phalada pure sure organic cinnamon bark,50 g,masala,spices & masalas,spices & masalas,whole spices,Phalada,0.0,0.0
100036304,10043529.0,popular appalam masala chips,80 g,,snacks,snacks,namkeen,Popular,0.0,0.0
100088647,10101090.0,ramdev premium white pepper powder,100 g,,spices & masalas,spices & masalas,black pepper powder,Ramdev,0.0,0.0
100085518,10097667.0,roasty nrich indian chatpata masala roasted makhana,20 gm,snacks,snacks,snacks,roasted makhana,Roasty,0.0,0.0
100089997,10102647.0,sainik whole dhania,250 gm,masala,spices & masalas,spices & masalas,whole corriander,Sainik,0.0,0.0
100052168,10059847.0,soya stick high protein,30 g,snacks,snacks,snacks,namkeen,Soya Stick,0.0,0.0
100020087,10023449.0,thai heritage panang,115 g,masala,spices & masalas,,,Thai Heritage,0.0,0.0
100065786,10075080.0,tip top farm life sabut jeera,200 gm,masala,spices & masalas,spices & masalas,powdered jeera,Tip Top,0.0,0.0
100065962,10075280.0,tip top sabut jeera,1 kg,masala,spices & masalas,spices & masalas,powdered jeera,Tip Top,0.0,0.0
100089594,10102175.0,whistle roasted mint chana chor,75 gm,snacks,snacks,,other snacks,Whistle,0.0,0.0
100041166,10048627.0,aachi agmark compounded asafoetida powder,10 g,masala,spices & masalas,spices & masalas,hing,Aachi Masala,0.0,0.0
100154664,,badshah medium hing,50 g,masala,spices & masalas,spices & masalas,powdered spices,Badshah,0.0,0.0
100088890,10101360.0,balaji funne masala,30 g,snacks,snacks,snacks,other chips,Balaji Gujarat,0.0,0.0
100053652,10061415.0,bingo yumitos premium salted,89 g,snacks,snacks,snacks,potato wafers,Bingo,0.0,0.0
100020107,10023472.0,blue dragon thai red curry paste,285 g,masala,spices & masalas,,,Blue Dragon,0.0,0.0
100005160,10005954.0,cantina sweet chilli flavour tortilla chips,200 g,snacks,snacks,snacks,potato chips branded,Cantina,0.0,0.0
100033146,10039675.0,chhedas salt pepper banana chips,170 g,snacks,,,chips,Chheda's,0.00066847836601,0.00066847836601
100071141,10081383.0,crave habbies badam lachha,350 g,snacks,snacks,snacks,namkeen,Crave,0.0,0.0
100061014,10069676.0,daadis golden wheat crisps tangy pudina khakhra,180 gm,snacks,snacks,snacks,khakhra,Daadis,0.0,0.0
100113055,10124796.0,daily kalajiri,100 g,masala,spices & masalas,spices & masalas,whole spices,Daily,0.0,0.0
100085538,10097688.0,durga tapioca round chips,175 g,snacks,snacks,snacks,other chips,Durga,0.0,0.0
100036853,10044176.0,gc dal masala,100 g,masala,spices & masalas,spices & masalas,whole spices,GC,0.0,0.0
100082129,10093898.0,gujaratis masala khakhra,200 g,,,,indian savouries,Gujarati,0.0,0.0
100005172,10005969.0,hippo munchies chinese manchurian,,snacks,chips,,,Hippo,0.0,0.0
100062130,10070797.0,jabsons peanut classic salted,160 g,snacks,snacks,snacks,salted nuts,Jabsons,0.0,0.0
100033210,10039743.0,jalaram foods soya sticks,180 g,snacks,snacks,snacks,namkeen,JFS,0.0,0.0
100054433,10062241.0,jolly time crispy n white popcorn,100 g,snacks,snacks,snacks,popcorns,Jolly Time,0.0,0.0
100080423,10091960.0,kalyan imli paani mix,,snacks,snacks,snacks,nachos,Kalyan,0.0,0.0
100022220,10025806.0,kitchen queen oregano bottle,25 g,masala,spices & masalas,,,Kitchen Queens,0.0,0.0
100033212,10039745.0,krish classic ghee jeera khakhra,200 g,snacks,,,indian savouries,Krrish,0.0,0.0
100078413,10089659.0,krrish bhavnagri gathiya,150 g,snacks,snacks,snacks,gathiya,Krrish,0.0,0.0
100018645,10021721.0,kurkure namkeen shahi mix,20 g,snacks,snacks,snacks,mixture,Kurkure,0.0,0.0
100050802,10058491.0,lolas funzi snacks,70 g,snacks,snacks,snacks,namkeen,Lolas,0.0,0.0
100069191,10079174.0,mayurank amchur powder,100 g,masala,spices & masalas,spices & masalas,powdered spices,Mayurank,0.0,0.0
100069508,10079524.0,mayurank kala sarson,100 g,,spices & masalas,spices & masalas,mustard seeds,Mayurank,0.0,0.0
100149213,10160954.0,nani ka masala pav bhaj masala,100 g,masala,spices & masalas,spices & masalas,blended masalas,Nani Ka Masala,0.0,0.0
100007317,10008427.0,organica dhaniya powder,75 g,masala,spices & masalas,spices & masalas,powdered coriander,Organica,0.0,0.0
